123808,28976.8
81161.6,18825.4
75405.1,20488.6
69377.3,26453.7
45494.4,21060.9
48540.2,6827.1
74011.6,18892.6
71680.6,10557.8
48399.1,15317.4
80543.4,14088.9
61199,19459.6
75311,20550.6
73760.4,16153.2
45418,10779.3
79070,23782.5
48217.7,19968.9
64287.7,13997.5
82289.8,21313.9
69221,19651.8
46443.6,35255.8
66018.1,27692.7
58909.2,17365.9
84695.5,12687.1
79244.8,15099
73704.1,23419.2
55566,12418.3
50335.3,8710.8
153161,38697.8
78570.2,19469.1
81725.3,20864.5
163104,33501.3
72992.6,18698.4
75216.1,14499.4
71736.8,15790.9
75357.2,21328.6
54565.6,21822.1
63350.3,22491
52475.6,22161.3
150099,40312.6
55235,8897.7
69950.2,20707
82449.4,22836.4
72922.9,17756.5
69560.4,21809.5
73472.3,19586.7
136181,37583.7
47607,18607
72408.8,26810.7
53234.2,10344.6
75104.4,18707.8
75172.4,19924.8
60008.8,17696.7
71256.4,18734.1
62306.2,21962.8
76764.2,18665.8
62355.7,61257
72410.5,21460.9
58459.8,12554.8
76940.6,17611.6
75201,15318.4
65051.3,22638
76309.8,20068.6
49713.7,21935.5
78060.4,18790.8
66425.5,24153.1
78558.5,24232.9
77934.4,18125.1
48777.1,15449.7
79491.7,21176.4
77911.7,15813
53445.8,14487.9
135563,46634.7
76314.8,53743.2
67024.4,18691
64758.1,18630.1
67824.1,23767.8
60032.3,18400.2
70964,17103.4
54940.2,14750.4
70007.3,24371.5
69946.8,22684.2
93500.4,47661.6
58737,23295.3
64946.3,12378.4
74290.4,22004.8
75335.4,16956.4
100350,37041.9
71460.5,55259.4
97265.3,148750
64594.3,18449.5
81884.9,22592.8
81863,18112.5
61078.1,21150.1
67486.4,15397.2
70496.2,13933.5
50161.4,15190.3
79785.7,21693
71354.6,14358.7
72793.6,13496.7
47906,24037.6
75649.6,17384.8
79822.7,21715
68453.3,17375.4
78378.7,25604.2
75133.8,31228
55222.4,18322.5
62837.9,13052.5
79944.5,21825.3
75998.2,20482.3
72681.8,23097.9
69010.2,22276.8
88736.8,66235
68578.4,18656.4
53268.6,23485.3
82833.2,43354.5
69429.4,15722.7
58989.8,11090.1
72154.3,18931.5
80897,15828.7
68052.6,20107.5
70568.4,14422.8
73665.5,15955.8
74084.6,18300.4
46927.4,9654.75
65781.2,21128.1
61479.6,18050.5
61473.7,27766.2
73649.5,38831.1
75217,21274
79871.4,20690.2
61283.9,29469.3
78598.8,18377.1
68108.9,16002
114970,36718.5
72247.6,22272.6
73070.8,18415.9
66260.9,18853.8
57314,15592.5
88914,22379.7
81513.6,16730.7
63599.8,15978.9
162509,42459.9
71316.8,20905.5
78997,19209.8
48067.3,17793.3
69812.4,29310.7
71227.8,25695.6
75015.4,16408.3
67780.4,21313.9
73370.6,26504.1
61572,20239.8
73683.1,14118.3
76798.7,26818
50236.2,8312.85
74532.4,20052.9
150260,67879.3
65289.8,22306.2
71711.6,14236.9
97480.3,23629.2
67443.6,14865.9
81623.6,17537.1
59816.4,20272.3
69069.8,28198.8
80942.4,17548.6
70669.2,19972
69291.6,16430.4
67792.2,19558.3
75893.2,23574.6
73109.4,30020.5
69392.4,18611.2
75843.6,21030.4
75045.6,19976.2
65667,17563.3
57141.8,16615.2
182004,50875.6
79957.1,19405
71299.2,23882.2
79338.8,18873.8
71636.9,27268.5
89283.6,13928.2
73332,21594.3
78767.6,16662.4
56257.3,11019.7
84318.4,20860.3
58791.6,23872.8
79122.1,15734.2
58324.6,13702.5
82010.9,29160.6
80317.4,23166.1
70488.6,19453.3
71754.5,16464
52511.8,27558.3
170683,46771.2
58428.7,29151.1
156654,47845.3
46433.5,18218.5
76121.6,29574.3
64701,24670.8
74377,19534.2
76198.9,19932.1
